ID, Beskrivelse, adresse, kvadratmeter, pris, totalpris + fellesgjeld, megler 
174981896 , Minde - En sjarmerende og moderne leilighet over 2 plan. Gode solforhold og fantastisk utsikt. Nylig oppgradert. , Fridalsveien 7, Bergen , 63 m² , 3 190 000 kr , Totalpris: 3 380 292 kr • Fellesutg.: 2 968 kr , PrivatMegleren Syd
174978787 , Bergen Vest - Lekker 4-roms toppleilighet, sol- og utsiktsrik - garasjeplass - varmvann inkludert - nær Vestkanten , klasatjønnveien 48, Loddefjord , 90 m² , 2 550 000 kr , Totalpris: 3 021 357 kr • Fellesutg.: 5 786 kr , Privatmegleren Vest
174943092 , Flott leilighet med svært god intern beliggenhet i øverste etasje! Panorama sjøutsikt og gode solforhold. , Helleveien 265, Bergen , 56 m² , 2 200 000 kr , Totalpris: 2 359 401 kr • Fellesutg.: 5 448 kr , Krogsveen avd. Åsane
174943458 , Olsvik - Velholdt del av tomannsbolig med leilighet i underetasje. Nytt yttertak og kjøkken i 2018. Gode sol-utsiktsforh , Olsvikfjellet 79, Olsvik , 179 m² , 4 990 000 kr , Totalpris: 5 116 092 kr , Krogsveen avd. Bergen Vest
174624435 , LANDÅS | Rålekker, nyoppusset 3-roms i øverste etasje med flott utsikt og svært gode solforhold. Bør sees! , Rugdeveien 16, Bergen , 68 m² , 2 850 000 kr , Totalpris: 2 947 866 kr • Fellesutg.: 4 431 kr , W EIENDOMSMEGLING AS
120698841 , Åsane | Gartnerløkken 2 | 53 selveierleiligheter med meget sentral beliggenhet like ved Horisont senter. , Myrdalsvegen - Gartnerløkken 2, Nyborg , 58 - 92 m² , 3 190 000 - 5 290 000 kr , Totalpris: 3 201 542 - 5 314 992 kr , PrivatMegleren Vikebø & Jørgensen Nybygg
133992292 , Mulighet for visning hver dag! Sentral beliggenhet i populære Sandslihøyden. Leilighetene har privat vestvendt uteplass. , SANDSLIHØYDEN IV - Sandslimarka 267, Sandsli , 69 - 103 m² , 4 195 000 - 5 375 000 kr , Totalpris: 4 219 220 - 5 406 540 kr , Bonava Norge AS
149940692 , Åsane - Ny tomannsbolig på solrik tomt - klar for innflytting i April/Mai 2020 , VIKALEITET 27, Nyborg , 140 m² , 5 400 000 kr , Totalpris: 5 426 249 kr , Royal Eiendom AS
169861699 , Liaparken  - Grønne hjem utenom det vanlige i Åsane. Allerede 30 solgt! Her får du gunstig fiansiering og IN-ordning. se www.liaparken.no. Ta kontakt med megler! , LIAPARKEN Flaktveitvegen 15, Nyborg , 43 - 123 m² , 1 300 000 - 4 750 000 kr , Totalpris: 2 606 760 - 9 506 760 kr , EiendomsMegler 1 Nybygg Bergen
169859805 , Bo godt i Miljøhagen på Midtun! Energivennlig og økonomisk tomannsbolig med høy standard. 1 solgt - 1 ledig. , Midtunhaugen 58, Nesttun , 107 m² , 5 450 000 kr , Totalpris: 5 485 000 kr , BoligPartner - Majo eigedom as
