ID, Beskrivelse, adresse, kvadratmeter, pris, totalpris + fellesgjeld, megler 
174947083 , Jakobsli/Brundalen - Lekker 3-roms selveier med hjørnebeliggenhet. P-kjeller. Sørvendt utvidet terrasse. Nytt bad 2014. Heis. Fjernvarme inkl , Brundalsgrenda 9, Jakobsli , 70 m² , 3 390 000 kr , Totalpris: 3 498 361 kr • Fellesutg.: 3 526 kr , PrivatMegleren Trondheim
174909363 , HØYSKOLEPARKEN - 3-roms i toppetasje - To balkonger med lang solgang - Bad & kjøkken TG1 - Nærhet til NTNU, St. Olavs & HHIT , Einar Tambarskjelves gate 2D, Trondheim , 78 m² , 3 890 000 kr , Totalpris: 4 033 843 kr • Fellesutg.: 3 812 kr , DNB Eiendom AS
164750945 , Strinda Hageby - Splitter ny 3-roms hjørneleilighet | Tilbaketrukket, men sentrumsnært | Innflyttingsklar | P-kjeller , Øvre Granåslia 13, G-102, Trondheim , 77 m² , 4 495 000 kr , Totalpris: 4 515 512 kr • Fellesutg.: 2 517 kr , Heimdal Eiendomsmegling AS avd Heimdal
174940505 , Heimdal - Helt ny 3-roms toppleilighet | Husbankfinansering | Innflyttingsklar med mulighet for kort overtakelse | Sentrumsnært , Søbstadvegen 33 A, A-303, Heimdal , 56 m² , 3 495 000 kr , Fellesutg.: 1 933 kr , Heimdal Eiendomsmegling AS avd Heimdal
174904237 , Bakkaunet - RÅLEKKER 2-ROMS MED EGEN GARASJE OG SENTRAL BELIGGENHET. Kjøkken TG0 og bad TG1. Lave felleskostnader. SE VIDEO! , Gamle Kongevei 70, Trondheim , 47 m² , 2 990 000 kr , Totalpris: 3 065 920 kr • Fellesutg.: 1 707 kr , EiendomsMegler 1 avd. Trondheim Sør/Øst
174926427 , Bakklandet/Singsaker - Pen 3-roms selveier med god standard - Nært studiesteder og sentrum - P-plass i garasje - Balkong - Heis , Singsakerbakken 1A, Trondheim , 69 m² , 3 890 000 kr , Totalpris: 3 988 562 kr • Fellesutg.: 2 718 kr , DNB Eiendom AS
159494421 , Berg - Flott og innholdsrik familiebolig på 185 kvm BRA - 4 soverom - TG1 på våtrom - Vedovn - Ettertraktet boligstrøk! , Harald Gilles Veg 6 B, Trondheim , 165 m² , 6 750 000 kr , Totalpris: 6 919 920 kr , EiendomsMegler 1 avd. Trondheim Sentrum
174883318 , Stavne - Herlig, sentral 3(5)-roms selveier i toppetasjen. Kort vei til off. komm. og sykkelvei. Parkeringsplass. SE VIDEO! , Stavnevegen 29, Trondheim , 84 m² , 2 990 000 kr , Totalpris: 3 065 920 kr • Fellesutg.: 2 320 kr , EiendomsMegler 1 avd. Trondheim Vest/Byåsen
173625069 , Strindheim - Meget pen og lys 2-roms på toppen av Sirkus Shopping. Utsikt mot Tyholt, parkeringskjeller og heis. Flotte utearealer på , Falkenborgvegen 17, Trondheim , 61 m² , 3 190 000 kr , Totalpris: 3 271 092 kr • Fellesutg.: 2 091 kr , DNB Eiendom AS
156757065 , Strinda Hageby "På Toppen" - Splitter ny 4-roms | Egen solfylt takterrasse og langstrakt utsikt | To garasjeplasser , Øvre Granåslia 25, M-501, Trondheim , 136 m² , 10 985 000 kr , Totalpris: 10 985 000 kr • Fellesutg.: 3 918 kr , Heimdal Eiendomsmegling AS avd Heimdal
174927189 , Kattem - INNHOLDSRIK OG PRAKTISK 5-ROMS LEILIGHET PÅ 3-PLAN I USTMYRA BL | 138 BRA | "ALT" inkl. i felleskost , Gråtrostvegen 26, Kattem , 131 m² , 1 990 000 kr , Totalpris: 2 562 223 kr • Fellesutg.: 7 899 kr , EiendomsMegler 1 avd. Trondheim Syd/Heimdal
155408544 , Lademoen/Solsiden - Lekker 2-roms på 45 kvm i 3. etasje | Karnapp m/store vindu | TG1 kjøkken&bad | Modernisert bygård | Heis , Innherredsveien 56, Trondheim , 45 m² , 2 550 000 kr , Totalpris: 2 663 779 kr • Fellesutg.: 3 436 kr , Heimdal Eiendomsmegling AS avd. Trondheim Sentrum
164188643 , Persaunet - Flott halvpart av tomannsbolig. Sentral beliggenhet. Carport. Balkong med gode solforhold. Vedfyring. 3 soverom. , Persaunvegen 1 A, Trondheim , 149 m² , 5 190 000 kr , Totalpris: 5 320 920 kr • Fellesutg.: 249 kr , EiendomsMegler 1 avd. Trondheim Øst/Valentinlyst
174905549 , Tiller - TILTALENDE FAMILIEBOLIG MED ETTERSPURT BELIGGENHET NÆRT SKOLER OG BARNEHAGE. Carport - Fjernvarme. SE VIDEO! , Rognbudalen 70, Tiller , 144 m² , 4 850 000 kr , Totalpris: 4 972 420 kr , EiendomsMegler 1 avd. Trondheim Sør/Øst
160151234 , Heimdal - Lekker selveierleilighet fra 2018 med høy standard | Fjernvarme inkl i felleskostnader |Heis |P-plass i garasjekjeller. , Sandbakkvegen 2 B, Heimdal , 61 m² , 3 150 000 kr , Totalpris: 3 235 670 kr • Fellesutg.: 2 847 kr , EiendomsMegler 1 avd. Trondheim Syd/Heimdal
174917884 , Ny 2-roms og moderne selveierleilighet | Heis | Fjernvarme |Terrasse | Sentral beliggenhet , Sorgenfriveien 24, Trondheim , 29 m² , 2 450 000 kr , Totalpris: 2 468 640 kr • Fellesutg.: 1 645 kr , EiendomsMegler 1 Prosjekt Trondheim
174917542 , Strøken og innflyttingsklar leilighet i 5.etg.| Heis | Fjernvarme | Flott utsikt | Gode solforhold | Sentral beliggenhet , Sorgenfriveien 24, Trondheim , 72 m² , 4 900 000 kr , Totalpris: 4 926 470 kr • Fellesutg.: 2 621 kr , EiendomsMegler 1 Prosjekt Trondheim
167397623 , STEINDAL - Innflyttingsklar 4-roms leilighet med flott beliggenhet | Fjernvarme | Garasje | Sentralt | Barne-og familievennlig , Sollia 22, Trondheim , 88 m² , 2 690 000 kr , Fellesutg.: 5 639 kr , Heimdal Eiendomsmegling AS Avd Melhus
