ID, Beskrivelse, adresse, kvadratmeter, pris, totalpris + fellesgjeld, megler 
174365469 , UTLEIR / RISVOLLAN - SJELDEN MULIGHET! Delikat & stort selveier rekkehus m/ solrik hage & takterrasse. 4 soverom, 2 bad, takterrasse, carport , Lillian Byes veg 45, Trondheim , 150 m² , Solgt , Totalpris: 4 980 742 kr • Fellesutg.: 2 131 kr , Proaktiv Eiendomsmegling avd. Moholt
174364404 , Trolla - Vertikaldelt ½-part av tomannsbolig med fantastisk fjordutsikt. Skjermet hage med lang solgang. Stor terrasse. Garasje. , Brukseier Olsens vei 54 A, Trondheim , 106 m² , 3 790 000 kr , Totalpris: 3 900 420 kr , PrivatMegleren Trondheim
174364104 , Velkommen til HeimdalsPorten - Meget pen 4- roms selveier med fin beliggenhet og stor sør(vest)vendt balkong. , Heimdalsporten BT 1 - Leilighet D 4-7, Tiller , 68 m² , 3 590 000 kr , Fellesutg.: 2 386 kr , Aktiv
174363416 , Lyst og flott rekkehus over 3 plan|P-plass | Terrasse i 1 egt | Vaskerom | Balkong i 2 egt | Flere solrike uteplasser , Starrmyra 63, Tiller , 136 m² , 3 590 000 kr , Totalpris: 3 807 700 kr • Fellesutg.: 4 925 kr , EiendomsMegler 1 avd. Trondheim Sør/Øst
174341929 , Markaplassen - Innholdsrik enebolig med garasje og godkjent utleiedel - Særdeles god beliggenhet med herlige sol- og utsiktsforhold! , Markaplassen 455, Ranheim , 213 m² , 6 590 000 kr , Totalpris: 6 755 920 kr , EiendomsMegler 1 avd. Grilstadporten
174354876 , NARDO/VESTLIA - Flott 3(4)-roms leilighet i 2. etg. Stor solrik balkong med herlig utsikt. Varmtvann inkl i felleskost. Rehabilitert BL. , Edgar B. Schieldrops veg 16 C, Trondheim , 73 m² , 2 350 000 kr , Totalpris: 2 745 165 kr • Fellesutg.: 5 996 kr , Proaktiv Eiendomsmegling avd. Moholt
174344189 , Øvre Nyhavna - Romslig hjørneleilighet | Stor balkong | Lave omkostninger | Sentrumsnært , Øvre Nyhavna A1-2-05, Trondheim , 77 m² , 6 190 000 kr , Totalpris: 6 225 892 kr • Fellesutg.: 2 810 kr , Heimdal Eiendomsmegling AS, Hovedkontor Trondheim
174344363 , MØLLENBERG - Romslig 2-roms endeleilighet med fantastisk utsikt. God planløsning og standard. Høy himling og hems. Gulvareal 66 kvm. , Nedre Møllenberg gate 34, Trondheim , 48 m² , 3 000 000 kr , Totalpris: 3 278 394 kr • Fellesutg.: 3 581 kr , Proaktiv Trondheim
171010571 , Moderne & lekker 4-roms selveierleilighet med lave fellesutgifter. Nybygg fra 2015. P-plass. Vannbåren varme i gulv. , Midteggen 29G, Saupstad , 71 m² , 3 190 000 kr , Totalpris: 3 277 820 kr • Fellesutg.: 1 724 kr , Eie Eiendomsmegling Trondheim
169251493 , STRINDA HAGEBY - Topp- og endeleilighet med stor solvendt balkong på 28 kvm | Panoramautsikt | Heis | Fast pris, førstemann til mølla , Øvre Granåslia 27 leil J-402, Trondheim , 59 m² , 4 095 000 kr , Totalpris: 4 095 000 kr , Heimdal Eiendomsmegling AS, Hovedkontor Trondheim
169243954 , 4 roms selveierleiligheter med solrik beliggenhet. Trafikkstille og rolig beliggenhet. Lave fellesutgifter på kr 749,- pr mnd. Parkering i carport. 3 av 4 er solgt i løpet av første salgsuke , Tonstadbrinken, Tiller , 68 m² , 3 398 000 kr , Totalpris: 3 417 939 kr , Varmbobygg AS
149318623 , LILLEBY TRIANGEL BLIR KOMPLETT - Selveierleiligheter fra 24-128 KVM. Sentrumsnær beliggenhet nært "alt"man trenger. , Lilleby Triangel bygg F, Trondheim , 34 - 123 m² , 2 600 000 - 11 900 000 kr , Totalpris: 2 622 870 - 11 953 570 kr , EiendomsMegler 1 Prosjekt Trondheim
124220084 , BROMSTAD ALLÉ - 58 nye selveierleiligheter i høy kvalitet på Strindheim - Husbankfinansiering , Bromstad Allé, Trondheim , 61 - 114 m² , 4 650 000 - 10 400 000 kr , Totalpris: 4 681 717 - 10 446 292 kr , DNB Eiendom AS
139663448 , Klæbu I 3 Stk solgt! - Bygging igangsatt. Moderne Tomannsboliger med flotte solforhold og nydelig utsikt,  3-4 soverom. , Lauvåsvegen, Klæbu , 100 - 102 m² , 3 890 000 - 4 390 000 kr , Totalpris: 3 908 750 - 4 410 000 kr , BoligPartner - Trondheim
174303645 , Nardo - Romslig 3-roms selveier | Solrik vestvendt markterrasse |  1. etasje | Rolig boområde | Carport | Lave felleskostnader , Trudvangvegen 8 B, Trondheim , 69 m² , 3 190 000 kr , Totalpris: 3 277 820 kr • Fellesutg.: 1 200 kr , Heimdal Eiendomsmegling AS avd. Trondheim Sentrum
174239094 , SOLSIDEN - Meget attraktiv 3-roms leilighet i 4. etasje med utsikt mot kanalen - P-plass - Heis - Oppvarming og varmtvann inkl. , Dokkgata 2B, Trondheim , 81 m² , 5 490 000 kr , Totalpris: 5 628 592 kr • Fellesutg.: 3 884 kr , DNB Eiendom AS
174293278 , SORGENFRI - Splitter ny 3-roms selveierleilighet ferdigstilt i 2020 - Sentral beliggenhet - Meget stor balkong - A-konto fjernvarme , Sorgenfriveien 26, Trondheim , 50 m² , 3 750 000 kr , Totalpris: 3 851 992 kr , Proaktiv Trondheim
174291602 , ELGESETER - Attraktiv 4-roms leilighet i toppetasje - Solrik vestvendt balkong med utsikt - Heis - Nærhet til NTNU og St.Olavs , Elgeseter gate 40 C, Trondheim , 71 m² , Solgt , Totalpris: 3 621 889 kr • Fellesutg.: 3 675 kr , Proaktiv Trondheim
174284018 , STEINAN - Stilfull 3-roms med fantastisk utsikt over by og fjord | Solrik veranda | Lekkert bad | Velutstyrt og moderne kjøkken , Edgar B. Schieldrops veg 59B, Trondheim , 69 m² , 3 690 000 kr , Totalpris: 3 790 320 kr • Fellesutg.: 1 000 kr , Heimdal Eiendomsmegling AS Avd Melhus
173253377 , Midtbyen - TILTALENDE 3-ROMS I ÆRVERDIG OG HISTORISK BYGÅRD -SUPERSENTRAL OG SKJERMET BELIGGENHET- UMIDDELBAR TILGANG TIL "ALT" , St Jørgensveita 7, Trondheim , 44 m² , 2 790 000 kr , Totalpris: 2 860 920 kr , EiendomsMegler 1 avd. Trondheim Sentrum
174264500 , HØYSKOLEPARKEN - Halvpart  - Gode leieinntekter på 22 000 pr mnd - 2 bad - 4 soverom - Sentral beliggenhet - Nært studiesteder. , Klostergata 10, Trondheim , 82 m² , 4 250 000 kr , Totalpris: 4 357 592 kr , DNB Eiendom AS
174264098 , Jakobsli - Moderne rekkehus | HTH kjøkken | 3 soverom | Parkering i garasje | Nærhet til skole/barnehage |  Gode solforhold , Bøkvegen 7 B, Jakobsli , 122 m² , 5 800 000 kr , Totalpris: 5 946 170 kr , EiendomsMegler 1 avd. Grilstadporten
174253264 , Strindheim - Stor selveierleilighet med 2 parkeringsplasser i P-kjeller - Heis - Fjernvarme - Hjørnebeliggenhet. , Gildheimsvegen 3B, Trondheim , 107 m² , 6 450 000 kr , Totalpris: 6 613 842 kr • Fellesutg.: 2 930 kr , DNB Eiendom AS
174261973 , Ny romslig hjørneleilighet med 3 soverom. Solrik balkong mot sør og vest. Verdt å sjekke denne planløsningen! Parkering. , Heimdal Atrium, Heimdal , 130 m² , 8 800 000 kr , Totalpris: 8 823 595 kr • Fellesutg.: 2 250 kr , EiendomsMegler 1 Prosjekt Trondheim
169641603 , Dalgård - Innholdsrik 3-roms med attraktiv beliggenhet - Egen terrasse samt felles takterrasse  - Lave felleskostnader , Odd Husbys veg 27, Trondheim , 99 m² , 3 890 000 kr , Totalpris: 4 003 161 kr • Fellesutg.: 3 122 kr , DNB Eiendom AS
174242766 , Saupstad - Lys og romslig 2-roms leilighet i 3 etasje | Vestvendt balkong | Flislagt bad | Attraktivt boområde , Saupstadringen 45C, Saupstad , 50 m² , 1 990 000 kr , Totalpris: 2 060 176 kr • Fellesutg.: 3 400 kr , Samsolgt by DNB Eiendom
159515854 , Nardo - PÅKOSTET OG VESENTLIG OPPGRADERT HALVPART på 169m² BRA. Delikat bad. Moderne kjøkken. Vestvendt terrasse. Garasje. 4 sov , Frøys veg 7, Trondheim , 157 m² , 4 790 000 kr , Totalpris: 4 910 920 kr , EiendomsMegler 1 avd. Lerkendal
174231979 , Havstad - Arealeffektiv 2-roms leilighet i 3.etg |Kjøkken/bad nytt 2020 | Tilbaketrukket beliggenhet | Utsikt | TV/Internett inkl , Karolinerveien 3B, Trondheim , 31 m² , Solgt , Totalpris: 1 996 842 kr • Fellesutg.: 2 425 kr , Samsolgt by DNB Eiendom
174249369 , VISNING? - TA KONTAKT! Ny og romslig 3-roms TOPPLEILIGHET med fantastiske sol- og utsiktsforhold! P-plass - Vaskerom+ Bad , Hagebyen Tiller G og H, Tiller , 78 m² , 5 200 000 kr , Totalpris: 5 224 535 kr • Fellesutg.: 2 604 kr , EiendomsMegler 1 Prosjekt Trondheim
174243595 , ROSENBORG PARK - Strøken selveier i 3. etg - TG.1 på bad/kjøkken - Innglasset balkong - Garasje og heis , Stadsing Dahls gate 5, Trondheim , 47 m² , 3 290 000 kr , Totalpris: 3 380 092 kr • Fellesutg.: 2 054 kr , Boli Eiendomsmegling AS
136846828 , HEIMDAL/ Kløverplassen - LEKKER TOPPLEILIGHET I SENTRUM FRA 2014 MED HEIS, P-KJELLER OG SOLRIK BALKONG! Fjernvarme og lave felleskostn. Velholdt! , Kirkeringen 1, Heimdal , 62 m² , 3 550 000 kr , Totalpris: 3 647 099 kr • Fellesutg.: 2 882 kr , Meglerhuset Nylander avd Heimdal
174233726 , Innflyttingsklar 3roms leilighet. Gulvvarme, parkering og hvitevarer. Lave omkostninger.  C88 , Industriveien 1 F, Heimdal , 58 m² , 3 190 000 kr , Totalpris: 3 212 270 kr • Fellesutg.: 2 285 kr , EiendomsMegler 1 Prosjekt Trondheim
172140394 , Stavne - Lekker og romslig hjørneleilighet fra 2017. Gjennomgående moderne standard. Solrik balkong. Heis og p-kjeller. , Stavnevegen 9, Trondheim , 71 m² , 4 150 000 kr , EiendomsMegler 1 avd. Trondheim Vest/Byåsen , Eier (Selveier) • Leilighet • 2 soverom
174232958 , LERKENDAL/SORGENFRI - Innbydende og velholdt rekkehus over 3 plan | Kjellerstue | Terrasse | 3 sov | Hage | Garasje | TG 1 på alle våtrom , Øystein Møylas veg 41E, Trondheim , 106 m² , 3 990 000 kr , Totalpris: 4 111 854 kr • Fellesutg.: 3 529 kr , Heimdal Eiendomsmegling AS avd Orkanger
169157159 , JAKOBSLI - LYS OG FLOTT FAMILIEBOLIG. Stor stue på 31 kvm. 3 store soverom. Solrik balkong, terrasse og hage. Utsikt. Garasje. , Churchills veg 3 B, Jakobsli , 117 m² , 4 250 000 kr , Totalpris: 4 368 920 kr • Fellesutg.: 775 kr , Meglerhuset Nylander avd Solsiden
144249120 , Klæbutorget - Moderne, prosjekterte 3-roms leiligheter, med god planløsning, garasjeplass og sydvendt balkong. , Klæbutorget, Klæbu , 70 - 81 m² , 3 620 000 - 4 350 000 kr , Totalpris: 3 640 722 - 4 370 722 kr , Krogsveen avd. Trondheim
126005509 , Tiller Hageby -  Nye selveierleiligheter med parkering i garasjekjeller , Brauta, Tiller , 36 - 60 m² , 2 498 000 - 3 498 000 kr , Totalpris: 2 506 752 - 3 506 752 kr , Block Watne AS
174081166 , Strinda Hageby - Strinda Hageby - Splitter ny 3-roms | Ingen nye bygg foran | P-Kjeller og Heis | Solrik innglasset balkong , Øvre Granåslia 15, H-303, Trondheim , 49 m² , 3 280 000 kr , Totalpris: 3 299 580 kr • Fellesutg.: 1 851 kr , Heimdal Eiendomsmegling AS, Hovedkontor Trondheim
173743417 , Buran - PEN OG SENTRUMSNÆR 2-ROMS -LAVE FELLESKOSTNADER -Parkeringsplass -Flott bakgård -Nært Solsiden, NTNU & mange fasiliteter , Frostaveien 13 C, Trondheim , 33 m² , 2 090 000 kr , Totalpris: 2 090 960 kr • Fellesutg.: 1 738 kr , EiendomsMegler 1 avd. Trondheim Sentrum
170352468 , Nedre Charlottenlund - Rekkehus med vid fjordutsikt. Byggeår 2006. Alle punkter TG1. 3 uteplasser. 350 cm himling. Garasje og p-plass. Blindvei , Ranheimsvegen 63 D, Ranheim , 116 m² , Solgt , Totalpris: 5 351 570 kr • Fellesutg.: 2 741 kr , PrivatMegleren Benum & Johansen
165753093 , STOR ENEBOLIG MED UTLEIEDEL I GRANÅSLIA/ ANGELLTRØA -  Skjermet hage - Garasje - Barnehage, busstopp og butikk rett ved. , Granåsvegen 40, Trondheim , 234 m² , 6 990 000 kr , Eier (Selveier) • Enebolig • 4 soverom , Meglerhuset Nylander avd. Moholt
173962129 , Bakklandet - Særegen 3-roms selveierleilighet over to plan i ærverdig bygning | Høy himling gir god romfølelse | Parkeringsplass , Teglbrennerveien 7 B, Trondheim , 76 m² , 3 990 000 kr , Totalpris: 4 114 627 kr • Fellesutg.: 2 280 kr , EiendomsMegler 1 avd. Trondheim Sentrum
171596251 , Stokkbekken I Eneboliger i kjede med stor terrasse I 4 soverom I Carport I Fantastiske solforhold! , Stokkbekken 13, Trondheim , 106 m² , 5 690 000 - 5 790 000 kr , Totalpris: 5 725 000 - 5 825 000 kr , BoligPartner - Trondheim
159133838 , Fantastisk salgsstart! Her er det 50 nye leiligheter i størrelsen 36-111 kvm. Priser fra 1.990.000,- , Bonesvegen, Trondheim , 34 - 99 m² , 2 390 000 - 7 490 000 kr , Totalpris: 2 411 292 - 7 528 097 kr , JM Norge
128516023 , Lade Park - 56 prosjekterte selveierleiligheter - Mulighet for visning på byggeplass , Harald Hårfagres gate 8, Trondheim , 26 - 117 m² , 1 890 000 - 11 990 000 kr , Totalpris: 1 923 622 - 12 031 392 kr , Aktiv
174004989 , KATTEM - 3-roms BRL over tre plan - Bad 2017 - Barnevennlig område - Parkering i felles garasjekjeller - Balkong - To terrasser , Rugdevegen 11, Kattem , 100 m² , 2 090 000 kr , Totalpris: 2 593 017 kr • Fellesutg.: 6 669 kr , Olden & Partners
168127797 , Sverresborg - BUD MOTTATT - Stilren 2-roms i 2. etg fra 2008 - P-kjeller - TG1 på alt - Attraktiv beliggenhet nær marka og sentrum , Byåsveien 120 D, Trondheim , 38 m² , 2 690 000 kr , Totalpris: 2 758 420 kr • Fellesutg.: 1 872 kr , EiendomsMegler 1 avd. Trondheim Sentrum
173926395 , Heimdal - Påkostet og lekker familiebolig på 187 BRA. 4 soverom og kjellerstue. Bad/vaskerom 2017. Nyere drenering og taktekking , Klokksteinvegen 14 A, Heimdal , 173 m² , 5 090 000 kr , Totalpris: 5 218 592 kr , Krogsveen avd. Trondheim
173995996 , BROMSTAD/VALENTINLYST - Lekker 2-roms endeleilighet fra 2018 i 1. etg - Heis - Parkeringskjeller - Gode solforhold - Fjernvarme - Walk-in-closet , Stallmestervegen 27, Trondheim , 46 m² , 2 800 000 kr , Totalpris: 2 891 059 kr • Fellesutg.: 4 271 kr , DNB Eiendom AS
142863996 , TOPPLEILIGHET MED KORT VEI TIL DET MESTE! Stor takterrasse med gode sol og utsiktsforhold. P-plass. Innflytting 2021. , Ladeveien 32, Trondheim , 112 m² , 9 500 000 kr , Totalpris: 9 550 740 kr • Fellesutg.: 4 038 kr , EiendomsMegler 1 Prosjekt Trondheim
173993130 , Rydningen - Lekker leilighet fra 2018 | Fjernvarme inkl. i felleskost. | Øverste etasje | P- plass med EL- bil lader | TG0. , Damlia 67, Trondheim , 69 m² , 3 700 000 kr , Totalpris: 3 799 530 kr • Fellesutg.: 3 222 kr , EiendomsMegler 1 avd. Trondheim Øst/Valentinlyst
173993365 , LYS OG DELIKAT 3-ROMS HJØRNELEILIGHET MED SOLRIK TERRASSE - Fin beliggenhet på takhagen. 4min til NTNU. Innflyttingsklar , Sorgenfriveien 26, Trondheim , 57 m² , 3 600 000 kr , Totalpris: 3 627 948 kr • Fellesutg.: 2 211 kr , EiendomsMegler 1 Prosjekt Trondheim
173990876 , Havstein - Lekker og innholdsrik enebolig betydelig renovert i 2019/2020! 2 bad (2020), kjøkken, vaskerom TG 0. 4 sov. SE VIDEO! , Finn Bergs veg 2, Trondheim , 186 m² , Solgt , Totalpris: 6 817 420 kr , EiendomsMegler 1 avd. Trondheim Vest/Byåsen
173873534 , Nidarvoll - Sentrumsnær, moderne og familievennlig rekkehus med endebeliggenhet. Bad fra 2019, vaskerom 2016, kjellerstue & vedovn , Birkebeinervegen 3F, Trondheim , 112 m² , 4 090 000 kr , Totalpris: 4 231 644 kr • Fellesutg.: 4 111 kr , Krogsveen avd. Trondheim
160192082 , Sjetnemarka - Romslig og innholdsrik familiebolig på 160 kvm BRA med barnevennlig og attraktiv beliggenhet. Rolig og tilbaketrukket. , Nedre Sjetnhaugan 10 A, Sjetnemarka , 158 m² , 3 290 000 kr , Eier (Selveier) • Tomannsbolig • 5 soverom , Proaktiv Eiendomsmegling avd. Heimdal
173990417 , Persaunet - Praktisk og flott 1-roms leilighet fra 2005 | Sentral beliggenhet | Fjernvarme | Lave felleskostnader | Parkering , Ubåtsvingen 3, Trondheim , 18 m² , 1 350 000 kr , Totalpris: 1 391 820 kr • Fellesutg.: 1 909 kr , Heimdal Eiendomsmegling AS avd. Trondheim Sentrum
173956872 , Lerkendal - Flott og sentral 3-roms fra 2014. Solrik balkong. Felles hage. TG1 på "alt". P-plass. Nært NTNU Gløshaugen og sentrum. , Klæbuveien 140 A, Trondheim , 48 m² , 3 390 000 kr , Totalpris: 3 475 920 kr , EiendomsMegler 1 avd. Lerkendal
173985279 , Moderne 4-roms leilighet med høy standard og svært attraktiv beliggenhet - Parkering m/ el-bil lader - 2,5 bad , Harald Hårfagres gate 8 - B 203, salg av kontraktsposisjon, Trondheim , 105 m² , 7 990 000 kr , Fellesutg.: 3 103 kr , Aktiv
173557970 , UGLA: 4 kvalitets- og innholdsrike familieboliger. Attraktiv beliggenhet. 4-6 sov. 186 kvm BRA. Utleiemulighet* Carport , Konrad Dahls veg 3, Trondheim , not found , not found , Eier (Selveier) • Tomannsbolig , Proaktiv Eiendomsmegling avd. Heimdal
173960451 , Risvollan - Flott beliggende rekkehus over 2 plan. Fantastiske sol- og utsiktsforhold. Kjøkken TG1. P-plass i P-kjeller. Fjernvarme. , Asbjørn Øverås veg 1 B, Trondheim , 99 m² , 2 990 000 kr , Totalpris: 3 151 915 kr • Fellesutg.: 5 890 kr , EiendomsMegler 1 avd. Lerkendal
173974842 , Sentrum - Arealeffektiv 2-roms med sentral beliggenhet | Heis | Gangavstand til "alt" | God offentlig kommunikasjon | 360 visning , Fjordgata 38, Trondheim , 31 m² , 2 490 000 kr , Fellesutg.: 1 765 kr , Heimdal Eiendomsmegling AS, Hovedkontor Trondheim
161157639 , Jakobsli - Påkostet og stilrent rekkehus med bad fra 2016 - Kjøkken fra 2013 - 2 Garasjer - Svært barnevennlig beliggenhet. , Churchills veg 11 B, Jakobsli , 116 m² , 4 550 000 kr , Totalpris: 4 664 920 kr , EiendomsMegler 1 avd. Grilstadporten
150473858 , Saupstad - OPPUSSINGSOBJEKT - PRISGUNSTIG 2-ROMS TOPPLEILIGHET MED INNGLASSET BALKONG. Balansert ventilasjon. Gode bussforbindelser , Kolstadflata 45 A, Saupstad , 50 m² , 1 590 000 kr , Totalpris: 1 825 146 kr • Fellesutg.: 4 367 kr , EiendomsMegler 1 avd. Trondheim Syd/Heimdal
154898306 , LADEMOEN - Lys studioleilighet - 3.etg - Balkong - Flislagt bad - Sentral beliggenhet , Grundtvigs gate 7A, Trondheim , 29 m² , 1 800 000 kr , Totalpris: 2 110 344 kr • Fellesutg.: 2 981 kr , DNB Eiendom AS
173968199 , ELGESETER - Fin og arealeffektiv borettslagsleilighet i toppetasje. Solrik balkong. Gangavstand til flere studiesteder og sentrum. , Elgeseter gate 43, Trondheim , 28 m² , 1 900 000 kr , Totalpris: 1 987 696 kr • Fellesutg.: 2 043 kr , Proaktiv Trondheim
173952064 , BAKKLANDET - 3-roms selveierleilighet med unik beliggenhet på Bakklandet. Privat balkong og takterrasse m/utsikt. P-plass i kjeller. , Vollabakken 16B, Trondheim , 99 m² , 5 490 000 kr , Totalpris: 5 628 592 kr • Fellesutg.: 4 265 kr , DNB Eiendom AS
173962186 , Grilstad Marina - Moderne 2-roms selveierleilighet - Sørvendt terrasse - Fjernvarme - Balansert ventilasjon - P-plass/bod i kjeller , Grillstadfjæra 12, Ranheim , 39 m² , 2 590 000 kr , Totalpris: 2 655 920 kr • Fellesutg.: 1 503 kr , EiendomsMegler 1 avd. Grilstadporten
173959694 , Risvollan / Utleir - Pen og moderne 2-roms fra 2014 | Lave felleskost. inkl. fjernvarme | Vestvendt veranda | Pent kjøkken | Heis | Se video , Anne Martha Kvams veg 9, Trondheim , 39 m² , 2 190 000 kr , Totalpris: 2 252 820 kr • Fellesutg.: 1 974 kr , Heimdal Eiendomsmegling AS avd. Trondheim Sentrum
173956756 , SVERRESBORG - Eiendom med attraktiv beliggenhet og fantastisk utsikt. Oppussingsobjekt. Stor og solrik tomt med utviklingsmuligheter. , Riiser-Larsens vei 3, Trondheim , 127 m² , 12 000 000 kr , Totalpris: 12 311 242 kr , Proaktiv Eiendomsmegling avd. Heimdal
173874863 , Møllenberg - URBAN OG FLOTT 2-ROMS SELVEIER PÅ 40 KVM I KLASSISK BYGÅRD. Kjøkken TG1. Stor og skjermet bakgård. Nærhet til NTNU , Nedre Møllenberg gate 86, Trondheim , 40 m² , 2 490 000 kr , Totalpris: 2 654 633 kr • Fellesutg.: 1 753 kr , EiendomsMegler 1 avd. Trondheim Sentrum
146450769 , Stubban - Moderne enebolig med spektakulær utsikt, stor takterasse med pergola, 3 sov, 2 bad. , Stubbanvegen 26A, Trondheim , 152 m² , 7 790 000 kr , Totalpris: 7 840 000 kr , BoligPartner - Trondheim
173814994 , Leilighet i attraktivt område - Flotte rekreasjonsområder i nærheten - Parkering - Kort vei til dagligdagse fasiliteter , Karolinerveien 2B, Trondheim , 32 m² , 1 850 000 kr , Totalpris: 1 876 842 kr • Fellesutg.: 2 425 kr , DNB Eiendom AS
173884156 , PERSAUNET - ATTRAKTIV 1/4 PART MED UTGANG TIL HERLIG HAGE - Seksjonert tilleggsareal i kjeller - Garasje - Kjøkken og bad med TG1. , Persaunvegen 45, Trondheim , 73 m² , Solgt , Totalpris: 3 483 320 kr • Fellesutg.: 1 000 kr , Meglerhuset Nylander avd. Moholt
173907842 , FLATÅSEN - Delikat, velholdt og romslig 3-romsleilighet i populært borettslag | Stor, solrik terrasse på 35 m² | P-plass | 3 boder , Øvre Flatåsveg 19B, Flatåsen , 85 m² , 2 470 000 kr , Totalpris: 2 589 990 kr • Fellesutg.: 3 895 kr , Heimdal Eiendomsmegling AS avd. Trondheim Sentrum
173905866 , ILA - Pen 3-roms  i 9. etasje med fantastisk utsikt  - Parkering / el-billading - Inngl. balkong - Sjelden mulighet! , Bynesveien 4B, Trondheim , 69 m² , 3 290 000 kr , Totalpris: 3 409 093 kr • Fellesutg.: 3 637 kr , DNB Eiendom AS
169220273 , Ugla - Tiltalende og svært innholdsrik enebolig med utleie | Flott utsikt | Gode solforhold , Arne Garborgs veg 8, Trondheim , 295 m² , 8 400 000 kr , Totalpris: 8 621 070 kr , Heimdal Eiendomsmegling AS, Avd. Byåsen
173894395 , STAVSET - Velholdt og utsøkt enebolig oppført i 2001 med vesentlige oppgraderinger | To store og solfylte terrasser | Carport , Rittmestervegen 45, Trondheim , 135 m² , 5 700 000 kr , Totalpris: 5 853 570 kr , Heimdal Eiendomsmegling AS, Hovedkontor Trondheim
173880875 , Innflytningsklare, lekre selveierleiligheter med svært høy standard og flott utsikt. , Rønningsbakken 25, Trondheim , not found , not found , Eier (Selveier) • Leilighet, Enebolig , Meglerhuset Nylander avd Nybygg og Næring
173879370 , Byåsen - PEN OG PRAKTISK 3-ROMS LEILIGHET MED FLOTT BELIGGENHET PÅ BYÅSEN | Garasje | Terrasse | rolig og barnevennlig område , Skjermvegen 84, Trondheim , 65 m² , 2 590 000 kr , Totalpris: 2 737 567 kr • Fellesutg.: 3 324 kr , EiendomsMegler 1 avd. Trondheim Syd/Heimdal
173875084 , MØLLENBERG - Fin 2-roms leilighet med moderne standard - Gangavstand til studiesteder, sentrum og solsiden - Tilbaketrukket , Kirkegata 31, Trondheim , 30 m² , 2 100 000 kr , Totalpris: 2 307 005 kr • Fellesutg.: 3 584 kr , Proaktiv Trondheim
173874239 , Stilig 2-roms leilighet i Trondheim sentrum. Høyt under taket og smarte løsninger. Ferdigstilt i 2022. , Erling Skakkes gt 60, Trondheim , 31 m² , 2 800 000 kr , Totalpris: 2 826 890 kr • Fellesutg.: 1 374 kr , EiendomsMegler 1 Prosjekt Trondheim
173748947 , LADE - Lekker 2-roms fra 2015 i 3. etasje - Veranda ut mot åpne fellesarealer - HTH-kjøkken med Miele hvitevarer , Julianus Holms veg 66, Trondheim , 46 m² , 2 950 000 kr , Totalpris: 3 025 092 kr • Fellesutg.: 1 467 kr , DNB Eiendom AS
173865434 , NYE LILLEBY - Splitter ny 3-roms i 7.etg på 100 kvm BRA med 2 uteplasser og egen P-plass, klar for innflytting. Ta kontakt for å avtale visning! , Ladeveien 15, H0701 MV 7.1, Trondheim , 90 m² , 7 990 000 kr , Fellesutg.: 3 461 kr , DNB Eiendom AS
172140394 , Stavne - Lekker og romslig hjørneleilighet fra 2017. Gjennomgående moderne standard. Solrik balkong. Heis og p-kjeller. , Stavnevegen 9, Trondheim , 71 m² , 4 150 000 kr , EiendomsMegler 1 avd. Trondheim Vest/Byåsen , Eier (Selveier) • Leilighet • 2 soverom
173785356 , Bromstad/Strindheim - Ny, flott 3-roms leilighet under oppføring. Overtagelse sommer 2020. Vannbåren gulvvarme. HTH kjøkken. "Sørvendt" terrasse med gode solforhold. P-plass i kjeller. , Bromstad Allé A0-4, Salg av kontraktsposisjon, Trondheim , 57 m² , 3 447 578 kr , Totalpris: 3 478 300 kr • Fellesutg.: 2 068 kr , DNB Eiendom AS
173792822 , FLOTT OG VELHOLDT 4-ROMS MED NYDELIG UTSIKT. Barnevennlig område. Stor veranda. Gode bussforbindelser. SE VIDEOVISNING. , Kolstadflata 37 C, Saupstad , 93 m² , 2 250 000 kr , Totalpris: 2 569 590 kr • Fellesutg.: 5 973 kr , EiendomsMegler 1 avd. Trondheim Syd/Heimdal
173782694 , Lademoen - Sjarmerende loftsleilighet over 2 plan -Selveierleilighet - 2 soverom - Balkong med gode solforhold. , Mellomveien 18C, Trondheim , 67 m² , 3 390 000 kr , Totalpris: 3 593 025 kr • Fellesutg.: 2 959 kr , DNB Eiendom AS
173832306 , Solsiden - PEN OG MODERNE 2-ROMS SELVEIER FRA 2006 I 3.ETG M/ HERLIG BALKONG. Kjøkken og bad TG1. Heis. Fjernvarme. Nærhet til NTNU , Dyre Halses gate 4, Trondheim , 24 m² , Solgt , Totalpris: 1 993 670 kr • Fellesutg.: 1 452 kr , EiendomsMegler 1 avd. Trondheim Sentrum
160722734 , Solsletta ved Strinda Hageby - Flott familiebolig | 4 sov | Bad + vaskerom  P-kjeller , Granåsvegen 60, Solsletta H2-3, Trondheim , 146 m² , 5 860 000 kr , Totalpris: 5 899 612 kr • Fellesutg.: 2 007 kr , Heimdal Eiendomsmegling AS, Hovedkontor Trondheim
173760226 , Bakklandet - SJELDEN OG TRENDY TOPPLEILIGHET MED FANTASTISK UTSIKT. Nydelig takterrasse. Betydelig oppgradert i 2016. God takhøyde. , Krangata 5, Trondheim , 71 m² , 5 200 000 kr , Totalpris: 5 331 170 kr • Fellesutg.: 1 887 kr , EiendomsMegler 1 avd. Trondheim Sentrum
