ID, Beskrivelse, adresse, kvadratmeter, pris, totalpris + fellesgjeld, megler 
157025051 , Påmeldingsvisning 14/4 kl. 18 - Lys og trivelig 3-roms leilighet i populært boligområde - Balkong med gode solforhold - Mulighet for lading av elbil , Helmer Hanssens gate 2C, Stavanger , 69 m² , 2 080 000 kr , Totalpris: 2 243 815 kr • Fellesutg.: 4 470 kr , Eiendomsmegler Vest Sandnes
161734474 , Madla - Nyoppført og lekker arkitekttegnet enebolig med utleiemulighet - Like ved UIS og det nye sykehuset , Novveien 1A, Hafrsfjord , 162 m² , 7 750 000 kr , Totalpris: 7 806 170 kr , EiendomsMegler 1 Madla
153423955 , Eiganes - Innbydende selveierleilighet i attraktivt område. Solrik terrasse. , Bjørnøygata 30, Stavanger , 82 m² , 3 325 000 kr , Totalpris: 3 413 722 kr , Krogsveen avd. Mariero
172676742 , Stokka/Eiganes - Herlig og usjenert leilighet med en rolig beliggenhet - god standard med nytt bad i 2017 - balkong med flott utsikt! , Agathe Backer Grøndahls vei 6A, Stavanger , 51 m² , 2 300 000 kr , Totalpris: 2 643 098 kr • Fellesutg.: 4 524 kr , DNB Eiendom AS
174893812 , Pen leilighet med populær beliggenhet- Stor, solrik terrasse. , Madlastokken 22, Hafrsfjord , 66 m² , 2 500 000 kr , Totalpris: 2 571 469 kr • Fellesutg.: 2 307 kr , EiendomsMegler 1 Madla
174873727 , Storhaug - Kjekk leilighet over 2 plan sentralt på Storhaug. Hage og parkeringsplass. , Islandsgata 21 A, Stavanger , 87 m² , 2 790 000 kr , Totalpris: 2 861 092 kr , Krogsveen avd. Stavanger
167096723 , Mariebo - Sentralt, rolig og fint tilbaketrukket. , Mariebo, Stavanger , 45 - 112 m² , 976 000 - 3 156 000 kr , Totalpris: 2 458 650 - 7 923 740 kr , OBOS BBL
169669285 , Eplestien-Salget er i gang-kontakt oss for å avtale et møte på telefonen/Skype/Teams mm. , Gjerdebakken, Stavanger , not found , not found , Andel • Leilighet , Ineo Eiendom As
112271450 , Ripstunet: Rekkehus til salgs. SALGSSUKSESS - Kun 2 stk igjen. Innflyttingsklart juni 2020. , Ripstunet Rekkehus, Stavanger , 120 m² , 5 690 000 - 5 870 000 kr , Totalpris: 5 698 750 - 5 878 750 kr , Selvaag Bolig AS
174756448 , Stavanger øst - Toppleilighet over to plan med god standard, romslig planløsning og generøs takhøyde. , Haugesundsgata 7D, Stavanger , 30 m² , 1 350 000 kr , Totalpris: 1 427 592 kr • Fellesutg.: 1 808 kr , PrivatMegleren Haferkamp & Partnere
174754588 , Nydelig oppgradet leilighet med 2 soverom og solrik balkong - Heis - Parkering i lukket garasjeanlegg , Riiser-Larsens gate 1, Stavanger , 73 m² , 3 200 000 kr , Totalpris: 3 291 542 kr • Fellesutg.: 2 200 kr , PrivatMegleren Haferkamp & Partnere
174604539 , STORHAUG - PÅMELDINGVISNING TIL MEGLER - Loftsleilighet med god takhøyde, lys atmosfære og fantastisk utsikt!  - ca. 75 kvm gulvareal , Sandeidgata 52, Stavanger , 47 m² , 2 090 000 kr , Totalpris: 2 150 820 kr , Eiendomsmegler Vest Stavanger
174740752 , HINNA - Pent rekkehus i ettertraktet nabolag - Garasje - Ingen dok.avgift , Betzy Kjelsbergs gate 11, Stavanger , 146 m² , 4 650 000 kr , Totalpris: 4 676 557 kr • Fellesutg.: 3 971 kr , Verdi Eiendomsmegling AS
