ID; Beskrivelse; adresse; kvadratmeter; pris;pris per kvadratmeter ; totalpris ; fellesutgifter; megler 
174655568 ; Stovner - Stor 4-roms terrasseleilighet m/2 bad, garasje og 2 terrasser. Kort vei til Stovner Senter. Marka som nabo. P-rom 126 m2 ; Tokerudberget 20, Oslo, Stovner ; 126 m² ; 3900000 kr; 30952 ; Totalpris: 4 249 842 kr ; 6 039 kr ; DNB Eiendom AS
175004638 ; Nedre Haugen - Stor og koselig 2(3)-roms med heis, solrik innglasset balkong, flott utsikt og garasje med mulighet for el-bil lader ; Maria Dehlis vei 55 A, Oslo, Furuset ; 64 m² ; 2550000 kr; 39844 ; Totalpris: 2 801 457 kr ; 4 361 kr ; DNB Eiendom AS
175003249 ; Nedre Kampen - Gjennomgående, romslig 3 roms med peis, varmtvann inkl. Flott gårdsrom. ; Kjølberggata 1 E, Oslo, Gamle Oslo ; 54 m² ; 3275000 kr; 60648 ; Totalpris: 3 572 942 kr ; 3 361 kr ; PrivatMegleren Aveny
172961621 ; Sørengkaia - Bo 5 meter fra sjøen i en lekker 4-roms fjordleil.- Balkong - Optimal planløsning - Garasjeplass m/lader ; Sørengkaia 70, Oslo, Gamle Oslo ; 66 m² ; 7500000 kr; 113636 ; Totalpris: 7 697 142 kr ; 3 627 kr ; Nordvik Bygdøy Allé
174892283 ; FROGNER -  Eksklusiv og påkostet 3-roms selveier i klassisk Frognerbygård - Parkering med elbillader - Solrik balkong ; Odins gate 8, Oslo, Bygdøy - Frogner ; 59 m² ; 7150000 kr; 121186 ; Totalpris: 7 338 392 kr ; 2 648 kr ; Nordvik Bygdøy Allé
174943984 ; Utsiktsleilighet i Ekebergskrenten - Meget pen og tiltalende 3-roms toppleilighet med peis. Stor, solrik balkong og fantastisk utsikt over Oslo by og fjord! ; Valhallveien 61, Oslo, Ekeberg - Bekkelaget ; 58 m² ; 4350000 kr; 75000 ; Totalpris: 4 441 817 kr ; 3 778 kr ; Nordvik Majorstuen
174556131 ; Ulven - Lys og gjennomgående 3-roms toppleilighet med vestvendt balkong og gode solforhold! Kort vei til sentrum | Parkering! ; Karl Staaffs vei 54, Oslo, Helsfyr - Sinsen ; 67 m² ; 3350000 kr; 50000 ; Totalpris: 3 565 032 kr ; 4 027 kr ; DNB Eiendom AS
174946659 ; SAGENE - Lys 3 -roms leilighet med god standard og delikate farger. Rolig og skjermet beliggenhet ved Bjølsenparken. ; Kongsvingergata 7A, Oslo, Sagene - Torshov ; 56 m² ; 4300000 kr; 76786 ; Totalpris: 4 462 888 kr ; 3 220 kr ; DNB Eiendom AS
174998671 ; ORMØYA - Sjarmerende bolig i rekke på solrik tomt ved Kock-haven. Garasje, vestvendt terrasse, 4 soverom og stort potensial. ; Arkitekt Steckmests vei 4C, Oslo, Ekeberg - Bekkelaget ; 166 m² ; 10500000 kr; 63253 ; Totalpris: 10 774 070 kr;0 ; PrivatMegleren Panorama
173419453 ; Gressbanen/Holmen: Hel horisontaldelt tomannsbolig 338 bra med mulig utviklingspot. Stor, flat solrik tomt. 2 Garasjer ; Sturlas vei 20, Oslo, Røa ; 287 m² ; 26750000 kr; 93206 ; Totalpris: 27 459 022 kr;0 ; Notar Oslo
174593615 ; MAJORSTUEN - Lys og luftig 3(4)-roms med idyllisk bakhage - Tilbaketrukket og barnevennlig beliggenhet - Soverom mot rolig bakgård ; Jacob Aalls gate 17B, Oslo, Uranienborg - Majorstuen ; 78 m² ; 5390000 kr; 69103 ; Totalpris: 5 492 451 kr ; 3 105 kr ; Nordvik Bygdøy Allé
171360481 ; Frogner - NY PRIS! Lekker 4-roms loftsleilighet m/gulvflate på 175 kvm./takhøyde på opp til 3.95 m. Terrasse. Heis. ; Behrens`gate 7, Oslo, Bygdøy - Frogner ; 132 m² ; 11400000 kr; 86364 ; Totalpris: 11 686 374 kr ; 2 361 kr ; EiendomsMegler 1 Majorstuen
174913432 ; Kværnerbyen - Påkostet og oppgradert 3-roms hjørneleilighet fra 2018 - Stor balkong på 30m² - Garasje m/ lademulighet- Flytt rett inn! ; Freserveien 9, Oslo, Gamle Oslo ; 63 m² ; 3140000 kr; 49841 ; Totalpris: 5 909 088 kr ; 8 916 kr ; DNB Eiendom AS
174994153 ; Høyenhall | Lys og luftig 2-roms endeleilighet | Solrik, sydvestvendt balkong på 7 kvm | Vv og fyring inkludert ; Johan Hirschs vei 16, Oslo, Manglerud ; 52 m² ; 3250000 kr; 62500 ; Totalpris: 3 272 385 kr ; 2 671 kr ; PrivatMegleren Panorama Manglerud
174994018 ; Ammerud - Ammerudlia - Arealutnyttet og hyggelig 1 roms med alkove. 12 kvm innglasset balkong. Vv og fyring inkl.! Kort vei til buss og t-bane. ; Ammerudhellinga 64, Oslo, Grorud ; 31 m² ; 2200000 kr; 70968 ; Totalpris: 2 365 385 kr ; 2 985 kr ; OBOS eiendomsmeglere - Kalbakken
173538914 ; Grünerløkka/ Tøyen - Lys 2-roms selveierleilighet fra 2007 m/ balkong- walk-in closet- V.vann og fyring inkl. i felleskost-Felles takterrasse ; Herslebs gate 17B, Oslo, Gamle Oslo ; 41 m² ; 3420000 kr; 83415 ; Totalpris: 3 517 042 kr ; 2 244 kr ; Aktiv Torshov
174601195 ; MAJORSTUEN - Lys og rålekker loftsleilighet med privat terrasse og sentral beliggenhet - 117 kvm gulvareal  - TG1 på alt ; Kirkeveien 70, Oslo, Uranienborg - Majorstuen ; 89 m² ; 6800000 kr; 76404 ; Totalpris: 7 100 568 kr ; 2 170 kr ; DNB Eiendom AS
174991066 ; #NYDALEN - Nyere 2-r leilighet med "alt" på idylliske Solsiden - Balkong 11 m2 - Lave f kost - V.v/fyr inkl. - Heis - Garasjeleie ; Nydalen allé 27, Oslo, Sagene - Torshov ; 48 m² ; 4450000 kr; 92708 ; Totalpris: 4 570 070 kr ; 2 592 kr ; Schala & Partners Torshov
171074697 ; Majorstuen - Majorstuen - Klassisk 3-roms eierleilighet med stukkatur, rosetter og god takhøyde. Balkong og peis. ; Kirkeveien 47A, Oslo, Uranienborg - Majorstuen ; 97 m² ; 6350000 kr; 65464 ; Totalpris: 6 706 450 kr ; 5 327 kr ; DNB Eiendom AS
174989538 ; Bogstad - Sjarmerende, stor og attrraktiv enebolig med hybel. Søkt oppføring av ny enebolig i hagen. ; Sørkedalsveien 248a, Oslo, Røa ; 301 m² ; 15000000 kr; 49834 ; Totalpris: 15 390 670 kr;0 ; PrivatMegleren Dyve & Partnere
174936107 ; HAUGENSTUA-Strøken 2-roms selveier i nybygg fra 2020. Høy standard og 5 års nybyggaranti i populært område med parkering ; Garver Ytteborgs vei 111D, Oslo, Stovner ; 49 m² ; 3600000 kr; 73469 ; Totalpris: 3 634 642 kr ; 2 250 kr ; Nordvik St.Hanshaugen
174942808 ; Tjuvholmen - Meget attraktiv 2-roms selveier beliggende i 7. etasje med sjøutsikt, vestvendt balkong og felles takterrasse ; Kanalen 3, Oslo, Sentrum ; 59 m² ; 7700000 kr; 130508 ; Totalpris: 7 902 872 kr ; 3 737 kr ; Nordvik Bygdøy Allé
