SEP=,

ID, beskrivelse, adresse, Kvadratmeter, pris, utleier, type bolig , link
55795980,stor lys 3 roms leilighet i gå avstand til sentrum.,ZINKEN HOPPS GATE 29 -  Bergen, 65 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=55795980,
78305769,Ny oppusset 3 roms i gå avstand til sentrum.,JØRGEN MOES GATE 9 -  Bergen, 70 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=78305769,
123067692,Koselig leilighet til leie!,Bjørgedalen 26 -  Fyllingsdalen, 50 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=123067692,
123761804,Leiligheit -  nyrenovert 2018 med badstu,Arnatveit, 47 m²,8 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=123761804,
174839461,Supersentral studio leilighet i sentrum. Kort el langtid - Nær off kommunikasjon -  5 min til bybanen,Bergen, 25 m²,8 500 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=174839461,
174820133,Nyoppusset 3-roms leilighet like ved HVL og Haukeland *møblert/utstyrt,ST. OLAVS VEI 23 -  Bergen, 55 m²,14 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174820133,
174808936,Enebolig i rolig gate med spektakulær utsikt,Eidsvågneset, 140 m²,17 500 kr,Privat,Eneboligfinn.no/realestate/lettings/ad.html?finnkode=174808936,
174825893,Ledig 3 roms leilighet til leie.,STORBOTN 99 -  Øvre Ervik, 60 m²,11 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174825893,
174781793,Ledige rom i kollektiv midt i sentrum!,ROSENBERGSGATEN 15 -  Bergen, 9 m²,5 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174781793,
170991285,Enebolig til leie sentralt i Åsane,Forvasshaugen 17 -  Nyborg, 163 m²,20 000 kr,Privat,Eneboligfinn.no/realestate/lettings/ad.html?finnkode=170991285,
174727267,3-roms leilighet til leie sentralt i Indre Arna,Seimsheia 5 -  Indre Arna, 64 m²,8 500 kr,Husleie.No AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174727267,
116257835,Hybel på Skansen 5 min gange fra torget.,Nils Klimsgt 5 -  Bergen, 32 m²,8 500 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=116257835,
174807771,1 roms leilighet ved Lagunen inkl strøm,RÅDALSLIEN 12 -  Rådal, 40 m²,7 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174807771,
174803230,ROM LEDIG I VELFUNGERENDE KOLLEKTIV!,STORETVEITVEGEN 19 C -  Bergen, 10 m²,4 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174803230,
174789349,3 roms kjellerleilighet på Hop 300meter fra bybanen for utleie,Østre Hopsvegen 9 -  Paradis, 77 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174789349,
152449367,3-romsleilighet ved Danmarksplass leies ut!,Lien 26 -  Bergen, 56 m²,13 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=152449367,
174792794,STORT LOFTSROM (CA 30m2)  LEDIG I TRIVELIG KOLLEKTIV!,ENGEVEIEN 4 -  Bergen, 30 m²,5 900 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174792794,
93215906,Et fint rom i bofelleskap i Loddefjord til leie,HETLEVIKÅSEN -  Loddefjord, 6 m²,5 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=93215906,
78673678,Lys og meget pen leilighet med utsikt,Strandbakken 7 -  Eidsvågneset, 43 m²,9 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=78673678,
174760489,Koselig hus til leie,Bjørgedalen 147 -  Fyllingsdalen, 149 m²,20 000 kr,Privat,Eneboligfinn.no/realestate/lettings/ad.html?finnkode=174760489,
127224946,Flott studioleilighet med 1 min. gange til bybanestopp.,Breiholten 3 -  Kokstad, 25 m²,8 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=127224946,
96887777,Sandviken ved Støletorget,Betalt plassering, 69 m²,14 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=96887777,
139674776,Nydelig 2-roms frontleilighet -  oppusset i 2017. Flott utsikt mot Fløyen.,MICHAEL KROHNS GATE 105 -  Bergen, 32 m²,11 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=139674776,
140090466,Korttidsleie? For bedrift eller andre med akutt behov.,Herman Grans Vei 23C -  Laksevåg, 34 m²,9 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=140090466,
100071488,Superkoselig leilighet på Nordnes - Herlig utsikt.,Tollbodallmenningen 39 -  Bergen, 40 m²,4 990 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=100071488,
174736621,STOR 6-ROMS TOPPLEILIGHET MIDT I SENTRUM - MED STORT LAGRINGSLOFT,HÅKONSGATEN 26 A -  Bergen, 110 m²,28 500 kr,STOREBJØRN EIENDOM AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174736621,
174736407,ROM STORE ROM I KOLLEKTIV LEDIG I STOR LEILIGHET I SENTRUM - GOD STANDARD,HÅKONSGATEN 26 A -  Bergen, 127 m²,4 950 kr,STOREBJØRN EIENDOM AS,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174736407,
174736253,Ledig gruppeleilighet/hybler/rom i kollektiv - Sentrum/Danmarksplass/Sandviken.,Bergen, 15 m²,4 950 kr,STOREBJØRN EIENDOM AS,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174736253,
96707480,Flott 4-roms leilighet ved Bybane,Østre Hopsvegen -  Paradis, 95 m²,14 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=96707480,
170001631,Sentral hybel på Laksevåg,Lille Damsgårdsveien 6 -  Laksevåg, 25 m²,6 800 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=170001631,
81283849,To ledige rom i stort og sentralt jentekollektiv,Kronstadveien 2b -  Bergen, 8 m²,5 200 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=81283849,
174696186,Romslig nyoppusset 2-roms leilighet med altan og garasje,Grønnlien 81 -  Bergen, 53 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174696186,
115933411,Lys og koselig hage leilighet,kollbudalen 38 -  Morvik, 88 m²,12 000 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=115933411,
124555399,Stor kjellerleilighet i rolig område med gode bussforbindelser,Morvikveien 183 -  Morvik, 52 m²,8 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=124555399,
171753933,Ny og sentral 3-roms leilighet på Damsgård,Damsgårdsallmenningen 1 -  Laksevåg, 60 m²,12 900 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=171753933,
170203576,Helt ny leilighet Inkludert strøm i rolig område i Sædalen,Sædalsvegen 60 -  Bergen, 40 m²,9 250 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=170203576,
74069107,Langtidsleie av fin leilighet mellom Åsane og Ytre Arna,GAUPÅSVEIEN 265 -  Ytre Arna, 38 m²,6 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=74069107,
171488823,Hybelleilighet til leie på Søreidgrend,MARKANESET 94 -  Søreidgrend, 28 m²,7 900 kr,Privat,Hybelfinn.no/realestate/lettings/ad.html?finnkode=171488823,
86002272,LEDIG ROM I SENTRALT KOLLEKTIV,ALLÉGATEN 40 -  Bergen, 9 m²,5 500 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=86002272,
52617133,Flott leilighet til leie i Åsane.,Flaktveit, 68 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=52617133,
174667288,Supersentral fresh liten leilighet. Midt i byn.,STRANGEBAKKEN 9 B -  Bergen, 20 m²,10 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174667288,
172193035,Nyoppusset leilighet,Bjørgedalen -  Fyllingsdalen, 36 m²,9 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=172193035,
117689932,Garasje/lager,Mildevegen 102 A -  Hjellestad, 75 m²,4 000 kr,Privat,Garasje/Parkeringfinn.no/realestate/lettings/ad.html?finnkode=117689932,
174173534,Rom til leie sentralt på Danmarksplass,Vikens gate 22 -  Bergen, 12 m²,5 000 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174173534,
174675766,3 roms leilighet sentralt på Fridalen/Wergeland -  gangavstand til Bybanen -  Høyskolen -  Haukeland m.m.,Schweigårds vei 27 -  Bergen, 68 m²,13 200 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174675766,
172201833,2 rum -  Sentrum -  Strandgaten/Nordnes,STRANDGATEN 212 -  Bergen, 54 m²,11 495 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=172201833,
171663445,Parkeringsplass i lukket anlegg -  Damsgårdsveien,Damsgårdsveien 40 -  Bergen, 12 m²,1 400 kr,Privat,Garasje/Parkeringfinn.no/realestate/lettings/ad.html?finnkode=171663445,
128075271,Moderne leilighet i sentrum - stille område,Nye Sandviksveien 48 a -  Bergen, 60 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=128075271,
98549322,Ny og lys leilighet i Sandviken -  2 soverom.,NYE SANDVIKSVEIEN 48 A -  Bergen, 68 m²,13 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=98549322,
